"id","nconst"
4669,"nm0000313"
5134,"nm0728951"
5134,"nm0728951"
410,"nm0000620"
4879,"nm0411044"
4879,"nm0875354"
4879,"nm0875354"
4879,"nm0875354"
4879,"nm0437099"
4879,"nm0846630"
4879,"nm0875354"
4879,"nm0875354"
4879,"nm0297872"
4879,"nm0615531"
4879,"nm0297872"
4879,"nm0875354"
3969,"nm0000168"
282,"nm0810488"
5015,"nm0000313"
4503,"nm0000569"
4503,"nm0000569"
3274,"nm0669362"
4383,"nm0000569"
4383,"nm0000569"
3833,"nm0508732"
3833,"nm0508732"
375,"nm0857620"
3420,"nm0857620"
2572,"nm0384900"
2572,"nm0384900"
1257,"nm0384900"
1257,"nm0384900"
1207,"nm0005377"
6013,"nm0669362"
14,"nm0495603"
14,"nm0495603"
3087,"nm0424060"
5867,"nm0002201"
2659,"nm0004753"
2659,"nm1014697"
2659,"nm0728951"
2659,"nm0846687"
2659,"nm0046223"
2659,"nm0495603"
2659,"nm0495603"
2659,"nm0384900"
2659,"nm0000375"
2659,"nm0269463"
2659,"nm0384900"
2659,"nm1411347"
2659,"nm0000375"
2659,"nm0032696"
2659,"nm1293367"
2659,"nm0269463"
2659,"nm0005024"
2659,"nm1436466"
2659,"nm0728951"
2659,"nm0391344"
2446,"nm0000332"
4461,"nm0000620"
2497,"nm0005024"
4522,"nm0000168"
5591,"nm0869467"
6555,"nm0669362"
435,"nm0805476"
435,"nm0495603"
435,"nm1293367"
435,"nm0495603"
4651,"nm0846687"
3981,"nm0669362"
6887,"nm0046223"
4407,"nm0000375"
4407,"nm0000375"
6337,"nm1293367"
2951,"nm0004753"
1505,"nm0498278"
1738,"nm0846687"
2660,"nm1582709"
2660,"nm0000620"
2660,"nm0004753"
2660,"nm0002201"
2660,"nm0788009"
6903,"nm0857620"
1255,"nm0000313"
2661,"nm0000569"
2661,"nm0000375"
2661,"nm0000569"
2661,"nm0000375"
2661,"nm1411347"
4912,"nm0805476"
6474,"nm0000313"
5424,"nm0002201"
4854,"nm0810488"
3736,"nm1014697"
764,"nm0270559"
764,"nm0270559"
764,"nm0498278"
984,"nm0788009"
1499,"nm0728951"
1499,"nm0728951"
4626,"nm0805476"
4358,"nm0005377"
2218,"nm0270559"
2218,"nm0270559"
